Server Time,Watch Timestamp,X,Y,Z,Value
2024-01-24T23:44:57.636Z,870469045,,,,94
2024-01-24T23:44:58.692Z,870470030,,,,94
2024-01-24T23:44:59.676Z,870471043,,,,94
2024-01-24T23:45:00.641Z,870472001,,,,94
2024-01-24T23:45:01.590Z,870472986,,,,94
2024-01-24T23:45:02.846Z,870473972,,,,95
2024-01-24T23:46:23.847Z,870555038,,,,92
2024-01-24T23:46:24.585Z,870556023,,,,92
2024-01-24T23:46:25.902Z,870557008,,,,92
2024-01-24T23:46:26.541Z,870557993,,,,92
2024-01-24T23:46:27.735Z,870558978,,,,92
2024-01-24T23:46:28.699Z,870559963,,,,92
2024-01-24T23:46:29.740Z,870561090,,,,92
2024-01-24T23:46:30.817Z,870562075,,,,91
2024-01-24T23:46:31.729Z,870563060,,,,91
2024-01-24T23:46:32.760Z,870564047,,,,91
2024-01-24T23:46:33.595Z,870565030,,,,91
2024-01-24T23:46:34.814Z,870566015,,,,92
2024-01-24T23:46:35.629Z,870567000,,,,93
2024-01-24T23:46:36.864Z,870567984,,,,93
2024-01-24T23:46:37.579Z,870568970,,,,93
2024-01-24T23:46:38.913Z,870570096,,,,93
2024-01-24T23:46:39.682Z,870571083,,,,94
2024-01-24T23:46:40.655Z,870572068,,,,95
2024-01-24T23:46:41.738Z,870573053,,,,95
